Date,Brent_Crude_GBP,WTI_Crude_GBP,GBP Curncy,GBPEUR Curncy,UKX Index,SPX Index,SX5E Index,Natural_Gas,CPI,RPI,GBP_IRS_2y,GBP_IRS_10y,Nationwide_HPI,RPI YOY
2011-01-01,60.56059854098129,57.77636739211801,1.6001681818181817,1.1644772727272727,5876.134545454545,803.8729424680334,2437.5014149930716,14.135588020577385,91.3,229.0,1.7096624999999999,3.581978181818182,321.6,5.094079853143641
2011-02-01,64.30565722223848,58.07707003307195,1.6177736842105264,1.1699473684210526,5889.598888888889,805.3924912331689,2442.938953619146,13.801545911951047,92.0,231.3,1.933119,3.6047110526315786,321.5,5.52007299270074
2011-03-01,71.1571818057846,62.068732089265964,1.6115272727272727,1.1473090909090908,5782.618571428572,800.2679558634385,2440.095797280593,15.006468548563005,92.2,232.5,1.8090326086956523,3.562880952380952,328.7,5.346624376982334
2011-04-01,75.5645314313778,63.99938052504689,1.6289454545454545,1.1385227272727272,5887.902631578947,802.8513148495401,2488.7083341650864,14.155105484042279,93.2,234.4,1.7798322222222223,3.551735,330.4,5.2064631956912
2011-05-01,70.82384380842132,60.442517612496715,1.616995238095238,1.1471666666666667,5796.3724999999995,808.9253389474677,2388.4195014632323,14.387797472678603,93.4,235.2,1.5397761904761904,3.3675857142857146,333.6,5.187835420393558
2011-06-01,70.90601947351891,58.78048573441652,1.6063772727272727,1.1329772727272727,5752.630454545454,796.4199511605732,2395.4424184068525,14.311564983885253,93.3,235.2,1.4198136363636364,3.335106818181818,335.6,4.953145917001336
2011-07-01,72.36507872346023,60.04608108654351,1.6134130434782608,1.1451652173913043,5819.303043478261,805.8889472762306,2336.520646346835,14.002182788309959,93.3,234.7,1.3630238095238094,3.271891304347826,336.6,4.9642218246869385
2011-08-01,67.48316427136088,55.370890734917,1.628940909090909,1.143359090909091,5424.25380952381,745.3423445797185,2095.5386639845115,14.227766241763067,93.8,236.1,1.2214227272727274,3.001059523809524,331.0,5.1670378619153645
2011-09-01,69.53612101691016,55.78770274933855,1.5805454545454545,1.1509772727272727,5373.248636363636,761.936903255493,1984.2805520999943,15.427642931093986,94.4,237.9,1.2207568181818182,2.8030795454545454,331.7,5.5925432756324875
2011-10-01,68.21234171262387,56.95807567935553,1.5948238095238096,1.1509619047619049,5575.476190476191,780.3949085284834,2139.8246601186584,15.282327052100095,94.5,238.0,1.346004761904762,2.9691285714285716,330.5,5.403011514614698
2011-11-01,69.90328953611761,61.283811791520165,1.580631818181818,1.1620318181818183,5514.376818181818,784.5096739905779,2067.6432737329205,15.093935394074293,94.6,238.5,1.4657272727272728,2.8733409090909094,330.7,5.158730158730154
2011-12-01,68.58687468759445,61.30699665788934,1.5706045454545454,1.179990909090909,5529.2005,793.3123609033001,2005.1696047258417,14.869400089289972,95.1,239.4,1.3283200000000002,2.658995,326.8,4.816112084063047
2012-01-01,71.1267272846897,62.394563777651896,1.566955,1.211395,5724.424499999999,852.0326634174327,1986.2484986317427,14.722024563564366,94.6,238.0,1.2644642857142858,2.2502924999999996,323.6,3.9301310043668125
2012-02-01,75.25073331054159,63.900551311627545,1.5821772727272725,1.2063727272727272,5866.06238095238,866.7255709192455,2051.724176908991,15.30365506790399,95.1,239.9,1.2565523809523809,2.324861904761905,324.6,3.7181150021616918
2012-03-01,78.4867905343891,64.35705996449512,1.5868217391304347,1.2117086956521739,5846.9873913043475,879.5099160352099,2063.7791404879204,15.628724631407053,95.4,240.8,1.251690909090909,2.378113043478261,325.8,3.5698924731182844
2012-04-01,75.35398451474101,62.73070382812824,1.59894,1.22549,5725.534210526315,862.3798793016163,1901.6748402679743,15.43456750623604,96.0,242.5,1.2878447368421053,2.294845,327.4,3.4556313993174035
2012-05-01,69.94713926061145,58.477547033072874,1.5767434782608694,1.2417913043478261,5505.961818181819,851.2193416109304,1816.4334831869805,15.420880480883074,95.9,242.4,1.299625,2.1437,331.2,3.0612244897959258
2012-06-01,61.203141421010336,54.9387680271306,1.5673565217391303,1.2380347826086957,5610.090909090909,860.3527830147284,1834.0592064179234,15.336332012915683,95.5,241.8,1.0459105263157895,2.060609090909091,330.6,2.8061224489796017
2012-07-01,65.32761873088694,57.8258815548799,1.5724380952380952,1.2611619047619047,5677.0805,870.9401838818699,1840.891241636586,15.521278754254842,95.6,242.1,0.8744,1.9746700000000001,327.9,3.152961227098426
2012-08-01,71.3215104620777,60.04488304514199,1.5798636363636362,1.2558272727272728,5779.29,885.6457691975718,1935.5857421040819,15.787227512923057,96.1,243.0,0.8316886363636363,2.04215,328.6,2.9224904701397736
2012-09-01,70.532474401412,59.09841862234134,1.6025809523809524,1.2412761904761904,5803.253,884.4138324488474,2002.9833159421182,15.76363425664553,96.5,244.2,0.7994875,2.0253075,327.1,2.64817150063051
