,Date,Brent_Crude_GBP,WTI_Crude_GBP,GBP Curncy,GBPEUR Curncy,UKX Index,SPX Index,SX5E Index,Natural_gas,BPSW2 TRPU Curncy,BPSW10 TRPU Curncy,CPI,RPI,Nationwide_HPI,RPI YOY,ng_YOY,Brent_Crude_YOY,Nationwide_HPI_YOY,CPI_YOY
69,2014-10-01,54.35909978749612,53.10956576711842,1.619776,1.253864,6481.7396,1190.981469042633,2432.967849782752,13.771039946264176,1.068111111111111,2.247333333333333,100.4,257.7,377.7,2.302500992457317,-18.11114469175667,-20.744915349666716,9.004329004329001,0.9072580645161205
70,2014-11-01,49.66937754701961,51.597419416160726,1.6031809523809524,1.2498285714285715,6685.894285714286,1248.7043318640324,2521.590008534504,13.915043900816237,0.9912142857142856,2.1190714285714285,100.1,257.1,377.8,1.9833399444664928,-19.05017945799544,-26.46441789516521,8.500861573808164,0.5020080321285141
71,2014-12-01,39.74386343444255,43.75405711824201,1.5918523809523808,1.2612095238095238,6565.031052631579,1260.8709978491668,2479.01461500338,13.679032214640628,0.9739333333333332,1.9760714285714285,100.1,257.5,376.2,1.617995264404102,-19.230640672113765,-42.36112951278001,7.2405929304446905,0.30303030303030015
72,2015-01-01,32.81812498652698,31.737054014432232,1.5161772727272729,1.3362636363636364,6641.765238095239,1339.5036560248711,2495.6648521479906,13.09920326795902,0.8990909090909092,1.6824285714285716,99.3,255.4,375.9,1.1084718923198775,-11.701319310041956,-49.405189566451206,6.7594433399602245,0.0
73,2015-02-01,38.343255354630735,32.75920698361236,1.5333857142857146,1.3623714285714286,6746.840476190476,1356.2327995006378,2536.801725282945,13.938964817972051,0.9674761904761904,1.8564761904761904,99.5,256.7,375.0,0.9834775767112512,1.7516108262112626,-41.46342871952696,5.693348365276209,0.0
74,2015-03-01,37.8662611960376,31.63511270854179,1.5036772727272727,1.3775681818181815,6791.14,1380.4315178849429,2615.694574399803,13.821671518408907,0.9443181818181816,1.7865714285714287,99.7,257.1,377.9,0.9026687598116212,1.513826381584534,-42.00786346676429,5.088987764182412,-0.19980019980018843
75,2015-04-01,40.40937730698577,35.57204662901094,1.5129090909090908,1.3860363636363635,6886.650952380953,1381.8137844009134,2620.0844133697137,13.690118518264176,0.9718636363636364,1.8137272727272729,99.9,258.0,385.1,0.8994915917090386,10.565742169917963,-37.68865794576876,5.161114145275815,0.09999999999999432
76,2015-05-01,42.50505175153095,36.18676826728779,1.543547619047619,1.3840142857142856,6864.994500000001,1360.2165388946307,2568.111738455769,13.123987721544372,1.002,1.9742380952380951,100.1,258.5,389.3,1.0160218835482588,8.697644744476282,-35.13153869781461,4.622413329750064,0.0
77,2015-06-01,41.067581778193095,35.88547274394863,1.5523857142857145,1.3855238095238096,6687.8035,1340.9198131294074,2507.6916586472366,13.023502995389586,1.0622380952380952,2.0685714285714285,100.2,258.9,389.1,1.0144362075692417,13.244087702858465,-38.35469203623178,3.2643312101910857,0.1001001001000944
78,2015-07-01,36.72600227290628,31.989864495096683,1.5456173913043478,1.402913043478261,6625.526086956522,1353.2188807726652,2518.626150556295,13.16907272174901,1.0911739130434783,2.0521739130434784,100.0,258.6,390.2,1.0156250000000089,17.37257943630716,-42.81541260717131,3.528787476784296,0.09980039920159114
79,2015-08-01,31.19610973121891,29.152670861812865,1.5452476190476192,1.3769571428571428,6402.255,1311.027050680735,2434.9559587911235,12.478582566517307,1.0267142857142857,1.956904761904762,100.3,259.8,389.6,1.089494163424129,6.350353497976495,-50.00211758838892,3.1779661016949152,-0.09970089730807011
80,2015-09-01,31.77485542776563,30.72178739148997,1.5276086956521735,1.3646565217391304,6280.524347826087,1302.101892699587,2375.712633534159,12.59570229116266,0.9918695652173912,1.9065217391304348,100.2,259.6,390.2,0.7763975155279502,-4.709901239363499,-47.20448364508443,3.831825439063325,-0.09960159362550648
81,2015-10-01,32.150955887584864,30.493891579795143,1.5331652173913042,1.378817391304348,6458.806956521739,1339.9154349626235,2458.240836507656,12.291281463752172,0.973,1.898217391304348,100.3,259.5,392.6,0.6984866123399346,-10.745437441806525,-40.8545100760106,3.9449298384961704,0.19980019980020267
82,2015-11-01,30.159048034892173,28.998764388754296,1.523005,1.409255,6398.5115,1357.1241342643416,2446.82296674484,12.095331269431158,0.99205,1.89845,100.3,259.8,391.6,1.0501750291715242,-13.077304278417238,-39.28039865943145,3.6527263102170493,0.19980019980020267
83,2015-12-01,25.818624981523435,27.520853560594016,1.5068227272727273,1.3668136363636365,6324.1435,1363.2854659204506,2426.8432013725483,11.423042464426954,1.0277272727272726,1.9239523809523809,100.3,260.6,393.0,1.20388349514564,-16.492319886483596,-35.03745547004704,4.465709728867627,0.20140986908358796
84,2016-01-01,22.809737262284184,25.53439370392756,1.3996434782608695,1.2787869565217391,6123.662727272728,1413.405854019613,2340.610929762673,9.77359282346888,0.7887391304347825,1.5114090909090907,99.5,258.8,392.7,1.331245105716525,-25.387883342681356,-30.49652510114944,4.469273743016763,0.30150753768843935
85,2016-02-01,24.047857237234165,26.087338589084563,1.3941842105263158,1.2604157894736845,6171.272222222222,1434.1174385658048,2327.359810254761,9.383225219216838,0.718,1.3325263157894738,99.8,260.0,392.9,1.285547331515392,-32.68348588470013,-37.28269283653848,4.773333333333327,0.5015045135406219
86,2016-03-01,28.18302320169181,28.33105667364843,1.411842857142857,1.2584333333333333,6253.627368421053,1452.882655900596,2395.2698077671066,9.0689606875459,0.7688571428571429,1.381047619047619,100.2,261.1,399.5,1.5558148580318942,-34.38593389036147,-25.572205146461783,5.715797830113793,0.3003003003002974
87,2016-04-01,30.652664594462856,29.52170915174361,1.413890909090909,1.2566272727272727,6357.307727272727,1468.0040770487506,2426.2904310962244,9.15671133172162,0.7824090909090909,1.4164545454545454,100.2,261.4,403.8,1.3178294573643323,-33.11444806335661,-24.144674733298157,4.855881589197607,0.2997002997003111
88,2016-05-01,33.61015009025937,32.36383340975186,1.4176318181818182,1.2695227272727274,6305.287142857143,1461.2274311511835,2356.760056571009,9.512007022259397,0.7463636363636362,1.3602727272727273,100.4,262.1,407.7,1.39264990328821,-27.521975606206478,-20.926692933508086,4.726432057539167,0.3992015968063787
89,2016-06-01,35.85347860999223,33.84145346294205,1.3925363636363637,1.2447136363636364,6262.087727272727,1497.3449363163356,2335.1946595967675,10.313097748385877,0.6766363636363636,1.2079545454545455,100.6,263.1,408.9,1.6222479721900522,-20.811645284400154,-12.696396871776743,5.088666152659973,0.5999999999999943
90,2016-07-01,34.979696245814864,32.96363872431442,1.3303363636363637,1.201240909090909,6630.369545454546,1608.5907870190038,2481.757122369671,10.837997225582049,0.5686363636363636,1.0195454545454543,100.6,263.4,410.4,1.8561484918793325,-17.701136180356418,-4.7549581196309765,5.176832393644283,0.5982053838484632
91,2016-08-01,35.3906591577972,33.70312122734778,1.3325304347826086,1.1916739130434784,6658.116818181818,1603.181916066849,2513.3108342302567,9.386618285754288,0.5273913043478261,0.9418695652173912,100.9,264.4,411.2,1.770592763664344,-24.778169029064383,13.445745199378742,5.544147843942496,0.8982035928143627
92,2016-09-01,35.65048263938914,33.53674851297672,1.3251,1.1861,6681.491363636364,1607.6954740980098,2522.149366525895,10.132168412675544,0.5105909090909091,0.964,101.1,264.9,411.0,2.041602465331261,-19.558527357506453,12.197151362133008,5.330599692465405,0.8973080757726876
93,2016-10-01,40.40034202932408,37.170194031258845,1.27196,1.15244,6784.034,1663.0420767948676,2624.813005449308,12.497444888204033,0.6186,1.13355,101.2,264.8,410.8,2.042389210019272,1.6773143228381062,25.658291997858534,4.6357615894039705,1.096709870388842
94,2016-11-01,36.390690549305376,33.94692962598968,1.2937,1.1929227272727272,6618.945454545454,1649.7697633586945,2519.838212488045,12.435263198577724,0.6702727272727272,1.3396818181818182,101.4,265.5,408.8,2.193995381062351,2.8104391816508953,20.662596867127814,4.392236976506636,1.595214356929221
95,2016-12-01,42.77816511331943,38.042859460859134,1.2837434782608697,1.197404347826087,6796.544285714285,1706.5102185400835,2631.6465325359563,12.452421029916872,0.649695652173913,1.3105,101.9,267.1,410.7,2.49424405218726,9.011422033101555,65.68723215869451,4.503816793893127,1.909547738693473
96,2017-01-01,43.919237485997066,41.37892600792839,1.2624904761904765,1.1549476190476191,7262.714999999999,1861.898401873847,2915.2511554842727,15.273382543196927,0.666052380952381,1.359395238095238,101.4,265.5,409.4,2.5888717156105057,56.271934170632264,92.54600340626176,4.252610134963073,2.304609218436871
97,2017-02-01,44.43478985395118,41.71885215295164,1.260195,1.166255,7319.083684210526,1895.0219785209608,2901.7436152470946,14.172827471771807,0.620675,1.265775,102.1,268.4,410.6,3.230769230769222,51.04430662866183,84.77650385062663,4.50496309493511,2.2954091816367237
98,2017-03-01,41.89800020110098,39.47639490682899,1.253966666666667,1.1528833333333333,7357.747916666667,1898.6645710943935,2998.3270206583497,12.974660410962546,0.6409958333333333,1.259625,102.5,269.3,413.6,3.1405591727307494,43.06667387785915,48.66396660591709,3.529411764705888,2.6946107784431166
99,2017-04-01,41.96654569929708,39.54456687640259,1.282425,1.1669,7274.406111111111,1865.054371944696,3001.13834375982,12.85975138247201,0.593785,1.178675,102.9,270.6,414.3,3.5195103289977223,40.440720653952894,36.90994324479699,2.6002971768202077,2.8884462151394334
100,2017-05-01,39.77265334650672,38.58936323901202,1.292104761904762,1.1528809523809525,7446.075999999999,1868.6282809148604,3087.3013775014974,12.502856174127118,0.5782666666666666,1.1805857142857143,103.3,271.7,416.4,3.6627241510873576,31.442882084387925,18.335244679652067,2.1339220014716673,2.683896620278333
101,2017-06-01,37.17608667005237,37.02991905405625,1.2791458333333334,1.1391208333333334,7407.605416666666,1904.3215687551915,3081.732622746343,12.544341113047444,0.6097291666666667,1.201733333333333,103.3,272.3,421.5,3.496769289243629,21.63504525117862,3.6889253465395537,3.08143800440206,2.5844930417495116
102,2017-07-01,37.88315446701976,37.71573319505854,1.2973727272727271,1.130131818181818,7403.319090909091,1896.781607584559,3082.6283337824634,12.210866716651134,0.6201909090909091,1.2708090909090908,103.2,272.9,422.3,3.60668185269552,12.667188065231825,8.300410045877046,2.8996101364522504,2.874132804757177
103,2017-08-01,40.22659494215272,37.64655701182327,1.2894454545454546,1.1084136363636363,7382.190476190476,1901.9412855420585,3124.2053549093503,12.925453037128952,0.5813272727272727,1.1831318181818182,103.8,274.7,419.9,3.895612708018159,37.70084862985659,13.664441124968638,2.1157587548638106,2.967359050445104
104,2017-09-01,42.12837154173052,38.37052990662311,1.3177523809523808,1.136995238095238,7333.500952380952,1876.191061258709,3096.748321599538,13.08866468156457,0.7269666666666666,1.3421333333333334,104.1,275.1,420.5,3.850509626274083,29.17930445362901,18.170550362154593,2.3114355231143553,2.9644268774703555
105,2017-10-01,44.33010950754809,39.70129221003919,1.30045,1.1329772727272729,7453.684090909091,1924.5970800317373,3141.5871296463465,13.5486317673253,0.7553090909090909,1.3506727272727272,104.2,275.3,421.1,3.965256797583081,8.411214360412597,9.727064873291507,2.507302823758523,3.1558185404339136
106,2017-11-01,47.84365411291802,41.49024720222013,1.3139863636363636,1.128490909090909,7393.842272727273,1934.11190328759,3138.143055085633,14.337875375764936,0.7635045454545455,1.3696,104.6,275.8,418.9,3.879472693032019,15.300135966601994,31.47223476865639,2.4706457925635923,2.944062806673209
107,2017-12-01,48.560852058708925,41.7421634844352,1.3198285714285714,1.1339714285714286,7506.967368421053,1959.5029657531284,3124.359792120579,14.302575180645473,0.7331000000000001,1.26425,104.9,278.1,421.2,4.118307749906402,14.857786660791634,13.517847084069981,2.556610664718773,2.9585798816568047
108,2018-01-01,50.05801927011476,47.35147616655462,1.3799714285714284,1.1352761904761903,7599.9395,2031.9348989463665,3141.4346833998857,14.010652394459514,0.9449238095238096,1.498190476190476,104.4,276.0,422.4,3.954802259887006,-8.267521259066863,13.977432522763966,3.1753786028334146,2.7424094025465346
109,2018-02-01,47.80648345368591,46.56787365577433,1.3749285714285715,1.1306761904761904,7319.265499999999,1981.8742272325835,3023.4416615426085,14.545264689074756,1.0366619047619048,1.6137142857142857,104.9,278.1,419.7,3.614008941877812,2.6278258028945625,7.5879589187140315,2.2162688748173323,2.4390243902439024
110,2018-03-01,48.51254511594206,46.96014436471923,1.3753045454545454,1.134509090909091,7196.056666666666,1967.9859336940249,2983.1480404591725,14.67207499259904,1.0757318181818185,1.5480136363636363,105.0,278.3,422.2,3.341997772001485,13.082535710933248,15.787256869284347,2.0793036750483473,2.4295432458697763
111,2018-04-01,52.23507986940276,48.723387260363936,1.373835,1.139405,7392.507,1966.0274839562628,3035.5690031200497,15.218785370877868,1.094475,1.568275,105.4,279.7,424.9,3.3628972653362768,18.34432033904829,24.468380704199046,2.558532464397771,2.420135527589545
112,2018-05-01,57.50957701489367,50.73532127561848,1.339020833333333,1.137254166666667,7569.548260869565,2041.175044518906,3046.6053103051577,16.49729178321548,1.0275999999999998,1.6095625,105.8,280.7,426.1,3.312476996687523,31.948184906375865,44.59577668570308,2.329490874159473,2.420135527589545
